"","miR.92a.3p","let.7c","miR.24.3p","miR.101.3p","miR.100.5p","miR.103a.3p","miR.30a.3p","miR.22.3p","miR.199b.3p","miR.199a.3p","miR.1269a","miR.93.5p","miR.1307.3p","miR.197.3p","miR.192.5p","miR.25.3p","miR.181a.5p","miR.126.3p","miR.223.3p","miR.9.5p","miR.29a.3p","miR.194.5p","miR.148a.3p","let.7a.5p","let.7d.3p","let.7b.5p","miR.205.5p","miR.142.3p","miR.28.3p","miR.30d.5p","miR.10b.5p","miR.182.5p","miR.143.3p","miR.21.5p","miR.10a.5p","miR.210","miR.375","miR.99b.5p","let.7f.5p","miR.30a.5p","miR.200c.3p","miR.183.5p","miR.23a.3p","miR.203a","miR.196b.5p","miR.16.5p","miR.92b.3p","miR.30e.3p","miR.21.3p","miR.191.5p"
"TCGA-44-2668",-2.02191398079494,-2.05560456177333,1.41882186558681,0.459243208606601,1.13772781367848,-1.33673403960197,-0.790664169743922,0.148956298467004,2.34438939751286,2.34634666439264,-0.8121453915745,-1.71337903691898,-1.33248423554675,-0.379375040086106,0.298889339418109,-1.44512087381096,-0.907992668317936,1.35738141338962,3.19622906964471,2.35053875949752,0.610870404543732,-0.720113627364492,0.999569304491899,-0.690661946746323,-0.125574590523932,-0.675430914937248,-2.12734559699635,3.66240026995202,-0.541607069316315,-1.15200492217078,-2.68900044069031,-1.48482602405248,1.65739967335614,0.955592217538847,-0.466763187542599,2.23644543170781,-0.945501986026493,-0.973285141417314,-0.337643865617267,0.145834415732532,-1.07115035978041,-0.849557044321232,1.21188003705473,0.488236842514279,-0.0241163348947939,1.70352545508654,0.61536979144651,-0.540681605315296,1.39900732829382,0.220601958463714
"TCGA-44-3396",-0.790809488761779,-0.98373654609569,-0.0809409097378602,0.030563494913169,1.48188199851157,-0.650485612075686,-0.251074276482029,0.630559734236286,2.250480510258,2.25357675386805,2.80753457891945,0.293114039752895,-1.01302022540079,0.182561642283236,-0.156533871641519,0.393807744886439,-0.145735832318657,1.21702936801615,2.87502129781923,0.403718181030071,1.04824863127846,-0.628301904575248,2.50124364901025,-0.83372537424343,-0.39356846717779,-0.716220777457465,0.388826629119496,2.60919809468899,-0.218852470312568,-1.24849395572466,-2.90472936556576,1.77250809235368,-0.305030970752307,0.465138003755985,-0.0877021100896407,1.57463859469345,2.70605255344435,0.79155788565966,-0.588975422859898,-0.14347065589353,-1.97584245006981,1.29270494040508,0.285191865529686,0.151178855761593,-3.07773108891666,1.07331353797244,-1.27556284945399,0.127720819430143,1.33639217223381,0.864429354439508
"TCGA-44-3398",-0.858847102024065,-0.777577922455489,0.259152113546042,0.300326450116211,3.47019592740069,-0.362359520837943,0.804142985161263,0.677004013470253,1.43429292803383,1.43464289074816,-3.20878551621143,-0.971050440608252,-2.0785043069918,-0.704139433788598,0.0226325711306341,-0.533236451984385,0.538683798975351,2.23076624528178,0.947610493190701,-1.17825876996254,0.120594630606403,0.214259083265372,1.51278767082013,-0.606628417657742,-0.34566812551663,-0.0897944409914135,0.484825691284019,1.59933987070952,0.622139641695483,0.184284278317032,-1.78231227899264,0.19563811609204,-0.379787860356227,1.01322807605873,0.853174682484806,1.3066145164089,2.06654783151733,-0.453291824219514,-0.858197823570771,1.39772947258841,-0.646048078826091,-1.292834359752,0.301115199736307,0.304588480804075,-4.36692743563804,0.536184797913874,-1.16625620767116,0.372735141413306,0.555191551771106,-0.990523961850439
"TCGA-44-3918",-0.812732817848163,-0.96888864875404,-1.26438565913444,-0.0805058904324181,0.666983508214601,-0.769539379239466,-1.41970529900481,0.278253104091995,1.270789491386,1.27063773520099,-2.13221821231205,-0.220590544099787,-1.91633481475943,-1.14216238853321,-0.19673120348321,-0.321109793021686,-0.075340722388086,0.116542023228455,-1.09672691102404,0.33754635472728,0.319191629385834,-0.331566487658105,1.85047777151526,-1.98481729616798,-0.458878874162272,-1.29047445636124,-5.3796708771993,1.67768148435161,0.435165605832029,0.722256233912347,-3.22980843649345,1.02499007850496,-0.911991070112768,1.43384128070395,-0.162926946667492,1.77046824197019,2.06642326932457,-0.14593904861476,-1.94900608485617,-0.618215870866134,-1.36998364529758,0.815408713031129,0.0510048232881779,0.368008108373658,-2.4344150386439,0.540700243058309,-0.00144608364409482,-0.747165747976224,1.53732162559616,-0.868220309742393
"TCGA-44-3919",-0.819048476623623,-0.538739843890909,0.914610346128214,0.441443200435721,0.119361514700982,0.0151325423449009,-0.513870019208774,-0.708494893578566,0.415343336541786,0.415744317605709,2.04753218545388,-0.0259521540476975,-1.62854154860548,0.596094922886738,-0.816071574917363,0.169453230128287,0.763760463583194,0.715356329456837,0.0990813452679316,-1.31362893742405,1.38026129233886,-0.429476241059817,0.707507571824731,-1.03929506222531,0.437596541568634,-1.08962305930037,-0.557274674355783,1.8071115800587,0.369575220550384,0.508426140927988,-2.48028991232875,1.78085765064501,-0.594841254121738,1.32545033381544,-0.0864088190676426,2.14984986392014,2.49378345503095,-0.265578581573445,-0.532015326183236,0.364316865522312,0.0604821605667443,1.49273149717992,0.0296789427498805,-0.244621053731969,-5.66586137947447,1.09872140933447,0.132612987072686,0.186811770707921,1.63159915684684,0.568620288743135
"TCGA-44-4112",-0.61244646853447,-1.59324532031598,0.32953265646846,-0.131633336212234,0.972426016112296,0.0938369268645225,-0.978605593490865,0.354469704399659,0.310241082391908,0.311322339495028,1.42198809609348,-0.106377808734257,-1.18683460798412,-1.70766001149266,-0.651455999841634,0.268008646191994,0.827014440403664,1.11605223136216,0.528569104584071,1.59188000885166,0.873392672458349,0.11363747186734,0.82640162703602,-1.04368458953619,0.0739873983391739,-0.710788658322636,-5.80880932331342,-0.0555630911878886,0.719041969791704,0.125219418899672,-1.29607788229426,2.24397976400155,-0.11465645346841,1.09510639013465,0.514817811971687,1.12124172183526,2.6944755284667,-0.20418508521564,-0.740910409522673,-0.156545355197711,0.19906413639989,1.91220557583364,0.631574948119576,1.42497767143754,-4.87305781808056,0.866288154392455,0.257778517802336,-0.0123118586412918,0.842296498769986,-0.469999214160511
"TCGA-44-5643",0.42283209577133,0.418673034045794,0.174198627319088,-0.0674329392348518,-0.0575719054866095,1.69266039678471,1.26511622336647,0.0158691887458975,-1.40693315185627,-1.40678581835294,-2.80731669294833,0.876335118319362,2.60814120200277,-0.58511671647587,0.316766496393322,1.76610462361588,-0.01580700050968,-0.35056448552613,0.687699572262521,5.06969305111816,0.15144018223034,0.863407768413806,-0.286184855013984,0.185046379428492,1.46113710150949,-0.64892441630133,3.70402975374786,0.870907168165386,1.45110437942354,0.349687810032339,0.0479536513954155,1.38282695604865,0.240456893221978,0.162855001860095,0.694548521971369,-1.95062888074362,-1.56743604291291,0.172675113572723,1.667265710142,1.00823162717847,2.47099608033066,1.57810073215173,-0.424711285499997,3.90254984301714,-0.699019763469054,-0.0906301550512136,-1.60518726504745,0.52815364477755,0.600496704580042,-0.506324165711824
"TCGA-44-5644",-1.94463193540242,-2.71578193856838,0.468563814485949,-0.79063157934698,-0.510717353205523,0.103178299448764,-2.96944098676256,-0.643283051740026,-1.65216373468919,-1.65092684715109,6.5884772957657,-1.08339930458706,0.401067559199106,-1.94454863070057,3.49248592099938,-0.422527921591893,0.171907961934478,-3.46301589410187,0.415184744517909,2.6772451847833,0.879730224865346,3.91210618937513,-0.489233334546546,-0.480298725250474,0.0829149486545955,-1.88781331042186,-6.07612126869154,-2.82794085951712,0.550311609523211,-0.056690031197407,-3.1124001647726,0.785254689461132,0.272826485331443,0.0859742847771976,-0.989911497883673,-1.53290249555618,6.87718185920873,-0.897464970415385,1.47359460914643,-3.56704943464207,0.353815738393925,0.969087281393566,-0.34943797922533,-5.06487917683101,0.485518177706407,-1.11252394368647,1.50090602250342,-0.200417465596978,0.588765076713655,-0.816344966912864
"TCGA-44-5645",-1.16565934340699,1.75482405983056,-0.261929565523312,1.07562258860238,1.66120575159738,-0.191724263579388,0.889094479702621,-0.0579993272428148,0.0537863803939604,0.0538658804055672,7.91309606112025,-1.14241116640374,-0.708614497206005,-0.604020645785096,-0.897748423471034,-0.863911789859475,1.79994780427005,0.108874595383165,-0.339937152577938,1.03326177315061,0.773552005545044,-0.702479118485042,1.95824742421835,1.37580646709637,-0.26819928317131,0.781933142235559,-2.6371904954866,1.54430111329174,-0.24276258467866,0.346547002913629,-4.11596277378941,0.73094185224152,1.6489384595721,-0.391379983235417,0.851473418636347,-1.22314363552713,1.87214992671934,0.296136669804456,2.48561392538111,0.927118156641193,-0.701293444004151,0.0613878202669085,-0.504372461489854,-1.71403833942594,-4.06357926345637,-0.195904352873907,0.838948086810631,1.05753743589049,-1.24857600473265,-0.485652647209147
"TCGA-44-6145",-0.0470486071731671,0.0252119129312653,0.0438749954471049,-0.765286649709076,1.85182085942814,0.191461065162576,1.01521179151873,0.608064757083863,-1.06804225832691,-1.06775692637426,-1.90092628697959,-0.499698060335705,0.41996155090667,-0.236703356950063,-1.39409410723101,0.432254078976589,0.559872811612653,-0.515803190959884,1.45869396778652,3.6782302915028,0.830006637217823,-0.5002576320218,0.297508700807336,1.02661204220488,0.931372685042312,0.665990234883781,-4.73462962695234,0.00160068743148578,1.07211794467126,0.304072709835213,-2.42092790312389,1.41352171569662,1.39202859942693,0.460309442979227,0.696600278995973,-0.266659584396079,1.85705180444018,-0.000111074756564022,1.67589439167208,0.923829064860396,0.450421171493401,0.360200406686973,-0.203645112512049,0.338588512792111,-5.52971972139967,-0.694105191615334,0.920567556881362,0.684544607104993,-0.203386600533845,-1.23335763267805
"TCGA-44-6146",-1.37720559793916,-0.278681720512663,-0.491323684048732,-1.4273547125631,-0.410294856224306,-0.837843017425675,1.74613479171479,0.373581362723993,-2.6783112465643,-2.67756800597342,-2.19522678219133,-1.81746091122861,-0.221111333126219,-0.197071430001463,5.88524621475078,-0.887514431022211,0.273063365700962,0.364371393580962,-1.31027122335527,-5.07680744665203,0.450239683491921,6.45841418918342,0.381585643503149,1.26112661618821,0.606420184286375,1.8630214083034,-5.29861969567258,-3.05878451254362,0.879143989232988,0.965569082407759,-5.11544586643365,0.595439355817934,1.69508759410246,-1.66198005266607,-0.722794445109441,-0.489511662527946,5.32550361007028,0.274380997862377,1.95147019225052,2.02815235276059,0.902383301423747,-0.464475420959351,-1.13888095740799,0.170089977219019,-5.25020292678171,-0.810975675251534,-0.296220504557581,-0.443920336049544,-0.953969323412549,-0.109995836594122
"TCGA-44-6147",-0.602077515663352,0.522502277293524,0.387365060028056,-0.124369541598723,1.37960514764591,0.25439897501554,0.282333656876521,-0.210697872659289,-0.477496394218944,-0.477404950274375,5.39144431594717,-1.07885983366659,-0.474251253213426,0.234852180765852,-1.07062852908953,0.449229461744382,0.206712872629016,-0.559099641248899,0.725837014837214,-0.0305469696718195,1.28448785225052,-0.497905896319511,0.0995923808704813,-0.812636342399859,0.305861917710558,-0.555196158968181,1.00115851768476,-1.38995884967333,0.859593279762306,1.56749272270706,-0.880246715505859,0.81234367243248,2.23601249234712,-0.524587232850042,2.72538641806901,-3.19766466511164,3.04014841986162,-0.399170342347583,0.0958833374707524,0.535074366407454,-0.722620977506844,1.00207669981953,-0.620165195446425,-1.40289949623915,-3.03082204844647,-0.968385260746805,2.0883629500599,-0.231404512353448,-0.435766098385304,-1.37761639668644
"TCGA-44-6774",-1.13659259029452,-0.326903835073024,0.883451164975227,-0.249329960440802,1.5316477718316,0.086771428906081,-1.18225338512824,1.06505016742043,0.511719508960581,0.512597439898817,0.783911231132341,-1.04889150984786,-0.569985695913777,-0.678414639906457,-1.60724667921995,-0.653798483497761,0.119552153421511,-1.15505353529074,1.78563032499774,-1.08727227567378,0.614982565199519,-1.10465898669796,-0.882657375228565,0.307080456897289,-1.04209505803758,-0.253429892374667,-2.88873984767696,-1.61434869491876,-0.372880267041884,-1.02802249593253,-2.7510378148691,-1.09649181721417,2.27895516376776,0.521743081196952,1.16709309766784,-2.01505093586364,1.90643845055035,-0.400404881963198,0.703447996355342,-1.07892456781879,-1.55741490947171,-0.982871994441828,-0.299264927955438,-2.98522705242854,-1.57035822036247,-1.02787014774079,-0.189774574157291,-1.11456426727252,0.111776131146236,-1.38969353139409
"TCGA-44-6775",-1.19234468189084,0.621211303432974,0.551978333958917,0.671538621498854,1.11207958869394,0.13602255215427,-1.38402791238225,0.740132487050911,1.31219857125618,1.31286635068958,-2.9576057364015,-1.16560462592694,-0.882587763357915,-0.762709094308326,-0.42143669932984,-1.11794824046056,0.910267693532468,-2.31516493705923,0.313046831540987,-0.473465811222439,0.629352213503863,0.342157079177204,-0.000842933293389692,0.9488750267006,-0.486096079588444,0.243918784732886,-1.78597594467753,-1.13985718503769,-0.760347291241192,0.0610209480260675,-3.64784268590957,-1.23110218423751,1.53576311775948,1.08674892545577,-0.0328550140772101,-1.19128447174465,-0.0837469684153245,-0.752168685714148,1.67311869180251,-1.16588178438478,-1.97478018698892,-1.3580008748687,0.530776820840781,-4.27018570289585,-3.93835121809369,-0.968560170590042,1.59578824848965,-0.616370991879931,0.0808900399913064,-1.58533060141894
"TCGA-44-6776",-1.04367972833273,1.26896732031864,0.635076276133047,-0.126480630464275,2.68978843868986,-0.760203591955626,0.268807331026562,1.45831198602471,-1.85603636795344,-1.85653959513581,-0.370703661190303,-2.21565942214744,-0.905731244749756,-1.35571664275398,-1.92653798925446,-0.535633569377946,1.44573789291823,-1.38093068824513,-1.25227847598286,-2.39859352619802,1.7053426843119,-1.46341600520767,0.0304287328369774,0.401266577005856,0.408637188944974,0.539116061228206,-4.49268528371564,-3.44240182808679,-0.988842028905513,1.0661433951557,-0.50798013013195,1.33659250402302,1.34582392506639,-0.10416109572283,1.52460822192847,-2.40178004927229,3.82249942547501,-0.336961329344712,0.794168013833497,0.419379976811946,-0.24417564969375,0.484246492824791,0.0275058104913235,2.16554632639993,-7.25293984256782,-1.26848063595451,0.946586404682254,-0.161514430794458,0.109108117500144,-2.72697906771964
"TCGA-44-6777",-1.78783575571626,-0.587761257103798,1.02866326647015,0.665744162030983,1.27126048430682,-0.373494822842238,-1.33117723161014,0.467942631780922,0.68328716769329,0.683828900906255,-3.20878551621143,-2.08303782369587,-1.00791774109669,0.188341171457704,-2.05787362484923,-0.913795704846709,0.415950344104173,-1.23792618529867,1.89796194388435,-1.93787907938536,1.75374602352361,-1.36658025495879,-0.179098415251685,0.0121138470006628,-0.819366204816316,-0.361948100032185,-4.72757085878794,-1.75918074717126,-0.31701479053508,-0.327901630281657,-2.22537645076407,-2.08874970956782,1.72613255702118,1.21805774615433,0.0192236970018396,-1.17713782075898,1.91901280858469,-1.20505610303106,0.575024097661608,-0.786003297990755,-2.37938573251925,-1.68794755313566,0.464392671676269,-1.74743191473613,-5.81975165924398,-1.00123134368148,0.836154143159893,-0.944669985194324,0.0593461850256176,-1.99084476680814
"TCGA-44-6778",-0.422745244246075,-0.298374851805244,-0.0439279846147205,0.98894324952561,0.34205011470198,0.354511820413844,1.30126865364157,0.0590285214293509,-1.78608204738666,-1.78463529560906,5.87410383699208,0.114777364320791,0.00176061216376056,0.529316735965217,-0.794217896492629,1.42107761229993,0.535515422118028,0.0504094181351888,1.898632784227,3.22538305570129,1.54489965715759,-0.468692191328065,-0.495349704661082,-0.217352103333353,-0.512710453312167,-0.21441097924466,-4.94505100369988,-0.837064150189562,-0.839600792800542,1.38782456853924,-1.84534741628851,0.176124112951038,1.16398357152766,-0.658685626745925,-0.75498493920453,-1.53556433399525,6.46941397007298,-0.517944410766766,0.29844380373936,1.56046586712514,-1.37728570715702,1.21450482850305,-1.32266966812227,-1.42641997443758,-6.52408304285106,-0.242797169684009,1.37630520430138,0.0987465046240672,-0.408540430394655,-1.50126111902574
"TCGA-44-6779",-0.555503653069794,-1.08448796878626,0.420176942173454,0.147551564373027,2.54745995784897,-0.231386318697984,-0.804832120966662,0.970858543283931,-0.197171956689205,-0.195985662106429,-2.69433598764491,-1.06930387179117,-0.22801776766048,-0.0670511189767211,-1.01909878628329,0.0252065863926649,1.15539622999729,-1.55950233132028,1.17107839473465,-0.964186480351978,0.969701243157951,-0.310933558148932,-1.92048604104841,0.652686848676868,-0.286050759315131,0.498828394671875,-4.65054069698227,-1.07391512532232,0.0788056508579373,-0.716430395287365,-1.30033644686006,-0.985114360728627,0.674165722698739,1.33779042729774,-1.20186806465163,-1.92623791611035,-2.44561205589981,-0.336591612090068,0.868386383077622,-0.659608282062779,0.149539758196445,-1.43876486693975,0.597377459485763,-0.599377409571549,-4.34890896201046,-0.50319127136669,1.29835614293383,-0.264797891008216,0.471308193965063,-1.50437259337807
"TCGA-44-7659",-0.0502418046083051,0.480410916402608,0.526416485068578,1.35769586582602,1.10634162142209,0.212929028428745,-0.717839695595314,-0.322364867503381,-0.177342467867971,-0.176980640043249,-2.40109345510842,-1.126768423894,-1.41459948708006,-1.06448420458541,-1.77584584187654,-0.276952396504328,1.50659690350323,-1.83065385912469,0.13364368387556,-2.94004519792613,1.96905921429272,-0.704166858496358,0.0198064456641323,1.40164692984564,-0.104634014197261,0.301819619943901,-1.88694762871536,-1.39434062882219,-0.103677233946401,1.77085977145243,-3.59193353544958,-0.329817600840382,2.08421734370427,0.402660719968413,-0.451805857427708,-3.42590568392162,2.27299015833387,-1.15818798325217,2.43467669466724,-0.0136091778077212,0.259101680858496,-1.35894292682435,-0.455950396880819,-1.48654668917973,-7.27404538461768,-0.2306928749811,1.54645770568916,-0.459191380016625,-0.920875352740623,-1.45209493847737
